generation,best_fitness,avg_fitness
0,290.79999999999995,85.56666666666665
1,905.9333333333335,204.6933333333333
2,2586.533333333333,350.31777777777774
3,2586.533333333333,578.6111111111111
4,2669.3333333333344,704.9355555555555
5,2669.3333333333344,666.2466666666666
6,2720.266666666666,1161.7755555555555
7,2720.266666666666,920.1844444444445
8,2720.266666666666,510.1422222222222
9,2720.266666666666,666.7044444444443
10,2720.266666666666,924.7288888888888
11,2720.266666666666,910.1355555555555
12,2720.266666666666,1071.0088888888888
13,13408.93333333334,1277.537777777778
14,13408.93333333334,1445.6844444444446
15,13408.93333333334,1525.8511111111113
16,196969.20000000016,8123.613333333339
17,196969.20000000016,8519.766666666672
18,196969.20000000016,8590.41555555556
19,196969.20000000016,9168.462222222228
20,196969.20000000016,8730.297777777783
21,196969.20000000016,9515.088888888893
22,196969.20000000016,9066.93333333334
23,196969.20000000016,8671.820000000005
24,196969.20000000016,10383.826666666671
25,196969.20000000016,9660.740000000007
26,196969.20000000016,11143.873333333338
27,196969.20000000016,10835.586666666672
28,196969.20000000016,9720.275555555561
29,196969.20000000016,10873.164444444448
30,196969.20000000016,10709.357777777785
31,196969.20000000016,9502.091111111116
32,196969.20000000016,9276.335483870973
33,196969.20000000016,9597.017777777783
34,196969.20000000016,9352.742222222229
35,196969.20000000016,10764.408888888893
36,196969.20000000016,10630.748888888893
37,196969.20000000016,10573.582222222227
38,196969.20000000016,10741.84444444445
39,196969.20000000016,10140.54666666667
40,196969.20000000016,12556.724444444448
41,196969.20000000016,12367.582222222229
42,196969.20000000016,11345.377777777783
43,196969.20000000016,11680.691111111117
44,196969.20000000016,11420.73555555556
45,196969.20000000016,10551.151111111116
46,196969.20000000016,12102.391111111116
47,196969.20000000016,11372.915555555559
48,196969.20000000016,15604.746666666673
49,196969.20000000016,13945.542222222228
50,196969.20000000016,12332.55111111112
51,196969.20000000016,13147.671111111118
52,196969.20000000016,15868.45333333334
53,196969.20000000016,13965.646666666673
54,196969.20000000016,12038.80222222223
55,196969.20000000016,13228.635555555562
56,196969.20000000016,13909.366666666672
57,196969.20000000016,12419.311111111117
58,196969.20000000016,12362.657777777786
59,196969.20000000016,12661.840000000006
60,196969.20000000016,13816.382222222228
61,196969.20000000016,12413.582222222229
62,196969.20000000016,13991.675555555563
63,196969.20000000016,19399.468888888896
64,196969.20000000016,17793.73333333334
65,281469.7333333334,26375.902222222234
66,281469.7333333334,23578.88000000001
67,281469.7333333334,27367.26222222223
68,281469.7333333334,28958.348888888897
69,281469.7333333334,32122.802222222228
70,281469.7333333334,45156.7688888889
71,281469.7333333334,39554.59777777779
72,281469.7333333334,37782.200000000004
73,281469.7333333334,38020.280000000006
74,281469.7333333334,45795.24222222222
75,281469.7333333334,39280.97333333332
76,281469.7333333334,38359.875555555554
77,281469.7333333334,40614.12666666666
78,281469.7333333334,37738.41333333333
79,281469.7333333334,43361.04666666666
80,281469.7333333334,40291.231111111105
81,281469.7333333334,42818.75555555555
82,281469.7333333334,54329.853333333325
83,281469.7333333334,42800.893333333326
84,281469.7333333334,40158.68444444444
85,281469.7333333334,40163.60222222222
86,281469.7333333334,45993.85111111111
87,281469.7333333334,43537.31555555555
88,281469.7333333334,50665.193333333336
89,281469.7333333334,52159.608888888884
90,281469.7333333334,48629.46
91,281469.7333333334,44552.32888888889
92,281469.7333333334,43020.23333333333
93,281469.7333333334,42863.646666666675
94,314484.4000000002,51037.40666666667
95,314484.4000000002,44831.27111111113
96,314484.4000000002,49727.7
97,314484.4000000002,45339.346666666665
98,314484.4000000002,44333.24222222222
99,314484.4000000002,50705.522222222215
100,314484.4000000002,45271.799999999996
101,314484.4000000002,56980.031111111115
102,314484.4000000002,44551.05333333333
103,314484.4000000002,42502.6
104,314484.4000000002,44166.526666666665
105,314484.4000000002,53991.955555555556
106,314484.4000000002,42960.846666666665
107,314484.4000000002,55227.80222222222
108,314484.4000000002,41704.30222222221
109,314484.4000000002,40618.8311111111
110,314484.4000000002,42866.335555555546
111,316072.8666666666,53091.046666666654
112,316072.8666666666,45104.88
113,316072.8666666666,47209.835555555546
114,316072.8666666666,46316.1711111111
115,316072.8666666666,46961.15111111111
116,316072.8666666666,43854.0711111111
117,316072.8666666666,48201.40888888889
118,316072.8666666666,46424.60666666666
119,316072.8666666666,43685.731111111105
120,316072.8666666666,45680.08888888888
121,316072.8666666666,54186.066666666666
122,316072.8666666666,52609.04444444444
123,316072.8666666666,50605.11333333332
124,316072.8666666666,50445.055555555555
125,316072.8666666666,45306.61333333332
126,316072.8666666666,45495.173333333325
127,316072.8666666666,52990.075555555544
128,316072.8666666666,50590.44888888888
129,316072.8666666666,47705.886666666665
130,316072.8666666666,49184.39555555555
131,316072.8666666666,65643.74444444443
132,316072.8666666666,68821.23555555554
133,316072.8666666666,45517.69777777777
134,316072.8666666666,48046.717777777776
135,316072.8666666666,47951.644444444435
136,316072.8666666666,60795.82222222222
137,316072.8666666666,55201.41333333332
138,316072.8666666666,57597.593333333316
139,316072.8666666666,57998.51777777777
140,316072.8666666666,49780.44666666666
141,316072.8666666666,59125.61777777777
142,316072.8666666666,53560.53333333333
143,316072.8666666666,54623.86888888889
144,316072.8666666666,56385.34
145,316072.8666666666,51430.724444444444
146,316072.8666666666,49026.26666666667
147,316072.8666666666,50718.195555555554
148,316072.8666666666,52297.86888888889
149,316072.8666666666,55854.24
150,316072.8666666666,54794.700000000004
151,316072.8666666666,51616.55777777778
152,316072.8666666666,55352.10444444445
153,316072.8666666666,52099.006666666675
154,316072.8666666666,52948.020000000004
155,316072.8666666666,57611.204444444455
156,316072.8666666666,56207.540000000015
157,316072.8666666666,57625.391111111116
158,316072.8666666666,51711.520000000004
159,316072.8666666666,60268.27555555556
160,316072.8666666666,56861.92222222222
161,316072.8666666666,57356.351111111115
162,316072.8666666666,52514.94444444445
163,316072.8666666666,53787.524444444454
164,316072.8666666666,63307.38666666667
165,316072.8666666666,60798.628888888896
166,316072.8666666666,53704.04000000001
167,316072.8666666666,52938.44444444445
168,316072.8666666666,73050.54222222223
169,316072.8666666666,53776.39777777778
170,316072.8666666666,53326.48222222223
171,316072.8666666666,52462.01555555556
172,316072.8666666666,51335.520000000004
173,316072.8666666666,58823.355555555565
174,316072.8666666666,56374.54000000001
175,316072.8666666666,51970.41555555556
176,316072.8666666666,60778.83111111112
177,316072.8666666666,57312.157777777786
178,316072.8666666666,57545.97333333335
179,316072.8666666666,50829.52222222223
180,316072.8666666666,60622.17777777779
181,316072.8666666666,63265.191111111126
182,316072.8666666666,57597.657777777786
183,316072.8666666666,51110.4488888889
184,316072.8666666666,69930.81111111114
185,316072.8666666666,53566.42222222223
186,316072.8666666666,62823.38666666669
187,316072.8666666666,54189.03333333335
188,316072.8666666666,60481.935555555574
189,316072.8666666666,53808.45111111112
190,316072.8666666666,61959.882222222244
191,316072.8666666666,52582.180000000015
192,86235.73333333335,21536.760000000002
